query	groundtruth_extended
BAR_sw_0_7_s_0_7_cc_1_query	BAR_sw_1_0_s_0_7_cc_1
BAR_sw_0_7_s_0_7_cc_1_query	BAR_sw_0_7_s_1_2_cc_1
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_1_0_s_1_0_cc_2
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_0_7_s_1_0_cc_2
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_1_2_s_1_0_cc_2
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_0_7_s_0_7_cc_2
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_1_0_s_1_2_cc_2
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_1_2_s_0_7_cc_2
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_1_0_s_0_7_cc_2
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_1_2_s_1_2_cc_2
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_0_7_s_1_2_cc_2
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_1_0_s_1_0_cc_3
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_0_7_s_1_0_cc_3
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_1_2_s_1_0_cc_3
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_0_7_s_0_7_cc_3
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_1_2_s_0_7_cc_3
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_1_0_s_1_2_cc_3
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_1_2_s_1_2_cc_3
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_1_0_s_0_7_cc_3
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_0_7_s_1_2_cc_3
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_1_2_s_1_2_oc
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_1_0_s_0_7_oc
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_0_7_s_0_7_oc
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_1_2_s_1_0_oc
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_1_0_s_1_0_oc
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_0_7_s_1_2_oc
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_1_0_s_1_2_oc
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_0_7_s_1_0_oc
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_1_2_s_0_7_oc
BAR_sw_1_0_s_1_2_cc_0_query	BAR_sw_1_0_s_1_0_cc_0
BAR_sw_1_0_s_1_2_cc_0_query	BAR_sw_0_7_s_1_0_cc_0
BAR_sw_1_0_s_1_2_cc_0_query	BAR_sw_1_2_s_1_0_cc_0
BAR_sw_1_0_s_1_2_cc_0_query	BAR_sw_0_7_s_0_7_cc_0
BAR_sw_1_0_s_1_2_cc_0_query	BAR_sw_1_0_s_1_2_cc_0
BAR_sw_1_0_s_1_2_cc_0_query	BAR_sw_1_2_s_0_7_cc_0
BAR_sw_1_0_s_1_2_cc_0_query	BAR_sw_1_0_s_0_7_cc_0
BAR_sw_1_0_s_1_2_cc_0_query	BAR_sw_1_2_s_1_2_cc_0
BAR_sw_1_0_s_1_2_cc_0_query	BAR_sw_0_7_s_1_2_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_0_7_s_1_0_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_0_s_1_0_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_0_7_s_1_2_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_0_s_0_7_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_0_7_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_0_s_1_2_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_0_7_s_0_7_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_0_7_s_1_0_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_0_s_1_0_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_0_7_s_1_2_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_0_s_0_7_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_0_7_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_0_s_1_2_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_cc_0_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_0_7_s_0_7_cc_0
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_0_7_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_0_s_1_2_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_0_7_s_1_0_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_0_s_1_0_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_0_7_s_1_2_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_0_7_s_0_7_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_0_s_0_7_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query1	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_0_7_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_0_s_1_2_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_0_7_s_1_0_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_0_s_1_0_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_0_7_s_1_2_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_0_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_0_7_s_0_7_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_0_s_0_7_oc
BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc_query2	BED_DEMO_sw_0_7_s_0_7_oc_p_0_sw_1_2_s_1_2_oc
	
BRUSH_sw_0_7_s_0_7_cc_1_query1	BRUSH_sw_0_7_s_1_0_cc_1
	
BRUSH_sw_0_7_s_0_7_cc_1_query1	BRUSH_sw_0_7_s_0_7_cc_1
	
	
	
BRUSH_sw_0_7_s_0_7_cc_1_query1	BRUSH_sw_1_0_s_0_7_cc_1
	
BRUSH_sw_0_7_s_0_7_cc_1_query2	BRUSH_sw_1_0_s_1_0_cc_1
	
	
BRUSH_sw_0_7_s_0_7_cc_1_query2	BRUSH_sw_0_7_s_0_7_cc_1
	
	
BRUSH_sw_0_7_s_0_7_cc_1_query2	BRUSH_sw_1_2_s_1_2_cc_1
	
	
	
	
BRUSH_sw_1_0_s_1_2_cc_1_query1	BRUSH_sw_1_2_s_1_0_cc_1
	
	
BRUSH_sw_1_0_s_1_2_cc_1_query1	BRUSH_sw_1_0_s_1_2_cc_1
BRUSH_sw_1_0_s_1_2_cc_1_query1	BRUSH_sw_1_2_s_1_2_cc_1
	
	
	
BRUSH_sw_1_0_s_1_2_cc_1_query2	BRUSH_sw_0_7_s_1_0_cc_1
	
	
	
BRUSH_sw_1_0_s_1_2_cc_1_query2	BRUSH_sw_1_0_s_1_2_cc_1
	
BRUSH_sw_1_0_s_1_2_cc_1_query2	BRUSH_sw_1_0_s_0_7_cc_1
	
BRUSH_sw_1_2_s_1_0_oc_query1	BRUSH_sw_1_2_s_0_7_oc
BRUSH_sw_1_2_s_1_0_oc_query1	BRUSH_sw_1_0_s_1_2_oc
BRUSH_sw_1_2_s_1_0_oc_query1	BRUSH_sw_0_7_s_1_0_oc
BRUSH_sw_1_2_s_1_0_oc_query1	BRUSH_sw_1_0_s_1_0_oc
BRUSH_sw_1_2_s_1_0_oc_query1	BRUSH_sw_0_7_s_1_2_oc
BRUSH_sw_1_2_s_1_0_oc_query1	BRUSH_sw_1_2_s_1_0_oc
BRUSH_sw_1_2_s_1_0_oc_query1	BRUSH_sw_0_7_s_0_7_oc
BRUSH_sw_1_2_s_1_0_oc_query1	BRUSH_sw_1_0_s_0_7_oc
BRUSH_sw_1_2_s_1_0_oc_query1	BRUSH_sw_1_2_s_1_2_oc
BRUSH_sw_1_2_s_1_0_oc_query2	BRUSH_sw_1_2_s_0_7_oc
BRUSH_sw_1_2_s_1_0_oc_query2	BRUSH_sw_1_0_s_1_2_oc
BRUSH_sw_1_2_s_1_0_oc_query2	BRUSH_sw_0_7_s_1_0_oc
BRUSH_sw_1_2_s_1_0_oc_query2	BRUSH_sw_1_0_s_1_0_oc
BRUSH_sw_1_2_s_1_0_oc_query2	BRUSH_sw_0_7_s_1_2_oc
BRUSH_sw_1_2_s_1_0_oc_query2	BRUSH_sw_1_2_s_1_0_oc
BRUSH_sw_1_2_s_1_0_oc_query2	BRUSH_sw_0_7_s_0_7_oc
BRUSH_sw_1_2_s_1_0_oc_query2	BRUSH_sw_1_0_s_0_7_oc
BRUSH_sw_1_2_s_1_0_oc_query2	BRUSH_sw_1_2_s_1_2_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query1	EX_SPEC_ALIGNMENT_CHART_sw_0_7_s_1_0_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query1	EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_2_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query1	EX_SPEC_ALIGNMENT_CHART_sw_1_2_s_0_7_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query1	EX_SPEC_ALIGNMENT_CHART_sw_0_7_s_1_2_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query1	EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query1	EX_SPEC_ALIGNMENT_CHART_sw_0_7_s_0_7_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query1	EX_SPEC_ALIGNMENT_CHART_sw_1_2_s_1_0_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query1	EX_SPEC_ALIGNMENT_CHART_sw_1_2_s_1_2_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query1	EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_0_7_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query2	EX_SPEC_ALIGNMENT_CHART_sw_0_7_s_1_0_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query2	EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_2_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query2	EX_SPEC_ALIGNMENT_CHART_sw_1_2_s_0_7_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query2	EX_SPEC_ALIGNMENT_CHART_sw_0_7_s_1_2_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query2	EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query2	EX_SPEC_ALIGNMENT_CHART_sw_0_7_s_0_7_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query2	EX_SPEC_ALIGNMENT_CHART_sw_1_2_s_1_0_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query2	EX_SPEC_ALIGNMENT_CHART_sw_1_2_s_1_2_oc
EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_0_oc_query2	EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_0_7_oc
EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_1_0_oc_query	EX_SPEC_CIRCOS_BETWEEN_LINK_sw_0_7_s_1_2_oc
EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_1_0_oc_query	EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_1_0_oc
EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_1_0_oc_query	EX_SPEC_CIRCOS_BETWEEN_LINK_sw_0_7_s_1_0_oc
EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_1_0_oc_query	EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_1_2_oc
EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_1_0_oc_query	EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_2_s_0_7_oc
EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_1_0_oc_query	EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_2_s_1_2_oc
EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_1_0_oc_query	EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_0_7_oc
EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_1_0_oc_query	EX_SPEC_CIRCOS_BETWEEN_LINK_sw_0_7_s_0_7_oc
EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_1_0_oc_query	EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_2_s_1_0_oc
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_2_s_1_0_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_0_s_1_0_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_2_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_0_s_0_7_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_2_s_1_2_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_0_s_1_2_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_2_s_0_7_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_0_7_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_2_s_1_0_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_0_s_1_0_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_2_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_0_s_0_7_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_2_s_1_2_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_0_s_1_2_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_2_s_0_7_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_0_7_cc_0
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_2_s_1_2_oc_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_2_s_0_7_oc
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_2_s_1_2_oc_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_0_s_1_2_oc
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_2_s_1_2_oc_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_oc
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_2_s_1_2_oc_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_0_s_1_0_oc
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_2_s_1_2_oc_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_2_oc
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_2_s_1_2_oc_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_2_s_1_0_oc
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_2_s_1_2_oc_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_0_7_oc
EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_2_s_1_2_oc_query1	EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_1_0_s_0_7_oc
